stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:843730006:LOC,MAURIAC/R,MAURIAC,,43.588147,2.241189,,,0,,,0,,
zenbus:StopPoint:SP:826660004:LOC,ESTADIEU/R,ESTADIEU,,43.587259,2.245346,,,0,,,0,,
zenbus:StopPoint:SP:854950006:LOC,BARBUSSE/R,BARBUSSE,,43.583179,2.252754,,,0,,,0,,
zenbus:StopPoint:SP:834470006:LOC,BERNADOU/R,BERNADOU,,43.582862,2.254739,,,0,,,0,,
zenbus:StopPoint:SP:837880004:LOC,MILHAUD/R,MILHAUD,,43.583183,2.256892,,,0,,,0,,
zenbus:StopPoint:SP:834460005:LOC,GAUGUIN/R,GAUGUIN,,43.59239,2.244052,,,0,,,0,,
zenbus:StopPoint:SP:834500004:LOC,TOULOUSE LAUTREC/R,TOULOUSE LAUTREC,,43.591077,2.246574,,,0,,,0,,
zenbus:StopPoint:SP:858800005:LOC,GOYA/R,GOYA,,43.59058,2.248279,,,0,,,0,,
zenbus:StopPoint:SP:851140005:LOC,RENOIR/R,RENOIR,,43.58913,2.250536,,,0,,,0,,
zenbus:StopPoint:SP:843690018:LOC,ZADKINE/R,ZADKINE,,43.587497,2.250467,,,0,,,0,,
zenbus:StopPoint:SP:814590005:LOC,BLANC/R,BLANC,,43.587427,2.248686,,,0,,,0,,
zenbus:StopPoint:SP:856840004:LOC,TRISTAN/R,TRISTAN,,43.58796,2.24691,,,0,,,0,,
zenbus:StopPoint:SP:843750004:LOC,RECORD,RECORD,,43.586467,2.244173,,,0,,,0,,
zenbus:StopPoint:SP:853070010:LOC,PUJOL,PUJOL,,43.586906,2.241517,,,0,,,0,,
zenbus:StopPoint:SP:826690004:LOC,ALBERT 1ER,ALBERT 1ER,,43.602432,2.238643,,,0,,,0,,
zenbus:StopPoint:SP:831800005:LOC,MAGENTA,MAGENTA,,43.600997,2.235478,,,0,,,0,,
zenbus:StopPoint:SP:851130005:LOC,BORDE BASSE,BORDE BASSE,,43.628173,2.259171,,,0,,,0,,
zenbus:StopPoint:SP:826700005:LOC,TENNIS/R,TENNIS,,43.627754,2.261869,,,0,,,0,,
zenbus:StopPoint:SP:853090004:LOC,PLAN D'EAU/R,PLAN D'EAU,,43.625423,2.25962,,,0,,,0,,
